Proffesion;Sex;Region;2005;2007;2009;2011
;;Ставропольский край;7,463;12,132;16,587;19,772.1800
;;Томская область;39,279;41,755;46,68;53,881.2200
;;Тюменская область;30,864;40,642;46,899;56,687.4100
;;Тюменская область (без АО);;;;51,511.5400
;;Тюменская область (частично);;;69,915.3800;
;;Удмуртская Республика;19,05;26,312;29,088;35,471.3000
;;Ульяновская область;11,033;15,092;17,971;28,657.2700
;;Уральский федеральный округ;30,864;40,642;46,899;56,687.4100
;;Ханты-Мансийский автономный округ-Югра;27,905;36,995;39,637;49,472.9900
;;Центральный федеральный округ;14,503;93,943;65,619;96,115.4900
;;Чеченская Республика;;;15,08;18,344.6500
;;Чукотский автономный округ;46,519;;;
;;Южный федеральный  округ (с 2010 года);;;;33,055.1300
;;Южный федеральный округ (по 2009 год);12,825;20,08;24,192;
;;Ямало-Ненецкий автономный округ;37,802;49,854;70,413;78,868.6600
;женщины;Архангельская область;30,181;38,654;54,183;64,351.6400
;;Астраханская область;18,222;29,621;33,804;43,217.5700
;;Волгоградская область;14,442;14,65;26,644;28,459.1200
;;г.Москва;27,737;84,951;78,661;96,993.2300
;;г.Санкт-Петербург;;25,769;36,3;46,568.4200
;;Дальневосточный федеральный округ;23,99;39,157;57,202;60,824.9500
;;Иркутская область;;44,725;31,33;45,725.6800
;;Кабардино-Балкарская Республика;2,667;9,397;6,4;8,15
;;Калининградская область;19,306;19,379;14,788;33,657.3100
;;Камчатский край;15,923;26,76;56,707;51,506.2500
;;Краснодарский край;10,853;13,02;13,667;29,574.9300
;;Красноярский край;21,235;36,057;43,798;64,471.5700
;;Ленинградская область;3,039;6,974;9,745;15,145.4500
;;Московская область;4,438;48,846;26,433;26,955.3200
;;Мурманская область;;;;259,533.3300
;;Ненецкий авт.округ;30,181;38,654;54,183;64,351.6400
;;Новосибирская область;27,773;35,616;47,814;30,680.8500
;;Омская область;9,778;16,636;24,377;30,057.8900
;;Оренбургская область;14,156;15,306;22,371;27,033.4800
;;Пензенская область;11,733;15,51;12,625;18,74
;;Пермский край;16,456;22,131;24,066;29,889.8600
;;Приволжский федеральный округ;14,449;19,39;23,913;28,041.2200
;;Республика Адыгея;;22;19,299;21,376.1900
;;Республика Башкортостан;15,283;25,266;32,653;42,229.7400
;;Республика Дагестан;4,523;9,379;8,258;8,190.2100
;;Республика Ингушетия;9,597;7,858;6,159;8,176.2700
;;Республика Калмыкия;8,213;16,641;18,071;19,103.0900
;;Республика Коми;20,592;30,191;39,493;43,965.4700
;;Республика Саха (Якутия);21,551;35,504;46,164;42,488.7200
;;Республика Северная Осетия - Алания;;5,647;1,6;
;;Республика Татарстан;12,572;16,997;20,639;21,082.1200
;;Российская Федерация;21,872;32,271;36,918;45,075.0300
;;Ростовская область;8;7,857;22,147;10,1
;;Рязанская область;8,25;;;
;;Самарская область;22,348;24,872;24,586;30,463.6600
;;Саратовская область;10,722;24,099;20,067;35,711.2900
;;Сахалинская область;25,258;42,138;84,184;96,135.7400
;;Северо-Западный федеральный округ;20,342;28,884;39,681;46,228.6400
;;Северо-Кавказский федеральный округ;7,225;9,042;11,945;14,486.2300
;;Сибирский федеральный округ;33,599;36,445;42,396;52,195.4500
;;Ставропольский край;6,999;9,919;13,686;17,746.0100
;;Томская область;38,498;36,071;43,018;46,941.4100
;;Тюменская область;26,249;38,561;39,742;51,112.1000
;;Тюменская область (без АО);;;;52,618.9900
;;Тюменская область (частично);;;79,876.9200;
;;Удмуртская Республика;16,505;24,698;24,295;28,332.8300
;;Ульяновская область;9,146;12,838;15,715;26,745.1400
;;Уральский федеральный округ;26,249;38,561;39,742;51,112.1000
;;Ханты-Мансийский автономный округ-Югра;23,774;32,502;33,571;44,408.1500
;;Центральный федеральный округ;14,83;80,011;66,336;83,639.1500
;;Чеченская Республика;;;15,102;18,070.5400
;;Чукотский автономный округ;15,667;;;
;;Южный федеральный  округ (с 2010 года);;;;29,490.3900
;;Южный федеральный округ (по 2009 год);12,539;16,373;21,376;
;;Ямало-Ненецкий автономный округ;31,723;48,843;64,548;69,409.5300
;мужчины;Архангельская область;36,965;45,259;61,788;71,177.4700
;;Астраханская область;30,512;30,872;37,504;57,442.4600
;;Волгоградская область;16,321;19,769;27,659;33,789.1400
;;г.Москва;48,636;135,639;63,253;125,091.7100
;;г.Санкт-Петербург;;31,429;62,536;77,043.3300
;;Дальневосточный федеральный округ;35,346;54,968;93,251;96,938.5600
;;Иркутская область;;44,244;46,931;67,120.1400
;;Кабардино-Балкарская Республика;3,608;3,416;6,017;6,914.2900
;;Калининградская область;24,987;21,249;41,537;47,276.9400
;;Камчатский край;19,813;26,941;90,008;115,734.0100
;;Краснодарский край;9,892;16,457;16,725;29,694.2000
;;Красноярский край;26,118;40,16;51,02;82,359.2100
;;Ленинградская область;4,158;15,613;11,664;20,151.2500
;;Московская область;8,962;60,474;70,496;44,933.3300
;;Мурманская область;;;;280,018.1800
;;Ненецкий авт.округ;36,965;45,259;61,788;71,177.4700
;;Новосибирская область;34,445;38,728;47,224;43,245
;;Омская область;9;41,158;41,894;50,170.4900
;;Оренбургская область;17,366;22,175;28,847;33,991
;;Пензенская область;10,874;13,698;15,366;23,582.6100
;;Пермский край;17,501;23,333;28,032;34,483.0700
;;Приволжский федеральный округ;17,404;23,766;28,079;34,845.1400
;;Республика Адыгея;12,058;13,407;24,217;31,45
;;Республика Башкортостан;15,666;25,198;29,564;43,256.4800
;;Республика Дагестан;7,274;9,533;11,939;15,177.3800
;;Республика Ингушетия;10,959;8,308;8,183;9,604.3100
;;Республика Калмыкия;12,058;15,133;18,464;18,122.7000
;;Республика Коми;23,772;37,705;45,949;54,486.9000
;;Республика Саха (Якутия);25,627;49,228;56,785;59,262.4800
;;Республика Северная Осетия - Алания;;5,659;1,485;
;;Республика Татарстан;16,679;22,142;26,794;30,151.5000
;;Российская Федерация;26,116;35,934;44,214;53,168.8200
;;Ростовская область;14,86;15;25,336;20,119.3500
;;Рязанская область;12,357;;;
;;Самарская область;26,364;28,602;27,632;39,639.7700
;;Саратовская область;12,538;24,025;24,827;35,116.5500
;;Сахалинская область;40,484;64,825;179,545;182,247.1500
;;Северо-Западный федеральный округ;25,779;36,739;48,911;57,602.8900
;;Северо-Кавказский федеральный округ;8,295;10,37;13,813;16,863.3200
;;Сибирский федеральный округ;3,684;42,399;48,311;64,740.2900
;;Ставропольский край;7,567;12,75;17,597;20,418.6000
;;Томская область;39,503;43,24;47,612;55,470.6400
;;Тюменская область;32,195;41,262;49,842;58,136.8900
;;Тюменская область (без АО);;;;51,400.5600
;;Тюменская область (частично);;;66,594.8700;
;;Удмуртская Республика;19,539;26,563;30,078;36,719.6900
;;Ульяновская область;11,347;15,461;18,325;28,933.1700
;;Уральский федеральный округ;32,195;41,262;49,842;58,136.8900
;;Ханты-Мансийский автономный округ-Югра;29,073;38,133;42,306;50,749.2800
;;Центральный федеральный округ;14,401;100,463;65,338;103,411.8600
;;Чеченская Республика;;;15,075;18,406.1200
;;Чукотский автономный округ;47,737;;;
;;Южный федеральный  округ (с 2010 года);;;;33,899.8400
;;Южный федеральный округ (по 2009 год);12,892;20,881;24,835;
;;Ямало-Ненецкий автономный округ;39,641;50,282;72,324;81,615.4400
Дошкольное и начальное общее образование. Основное общее, среднее (полное) общее, начальное и среднее профессиональное образование;Всего;Алтайский край;;;7,883.0100;
;;Амурская область;;;12,407.9900;
;;Архангельская область;;;11,411.5700;
;;Астраханская область;;;9,230.7800;
;;Белгородская область;;;9,440.3100;
;;Брянская область;;;6,745.1100;
;;Владимирская область;;;9,485.5300;
;;Волгоградская область;;;9,351.2300;
;;Вологодская область;;;9,295.7200;
;;Воронежская область;;;9,411.3000;
;;г.Москва;;;33,324.6100;
;;г.Санкт-Петербург;;;15,046.4700;
;;Дальневосточный федеральный округ;;;14,312.2300;
;;Еврейская автономная область;;;10,319.6800;
;;Забайкальский край;;;10,075.7800;
;;Ивановская область;;;9,141.8000;
;;Иркутская область;;;10,798.4100;
;;Кабардино-Балкарская Республика;;;8,748.8300;
;;Калининградская область;;;11,068.0100;
;;Калужская область;;;12,401.8400;
;;Камчатский край;;;20,521.6600;
;;Карачаево-Черкесская Республика;;;7,570.9100;
;;Кемеровская область;;;11,463.6900;
;;Кировская область;;;9,076.4800;
;;Костромская область;;;8,395.9700;
;;Краснодарский край;;;9,262.3600;
;;Красноярский край;;;11,481.6300;
;;Курганская область;;;7,652.7500;
;;Курская область;;;6,951.5300;
;;Ленинградская область;;;12,892.1300;
;;Липецкая область;;;8,451.1500;
;;Магаданская область;;;18,779.2800;
;;Московская область;;;16,105.5300;
;;Мурманская область;;;15,738.6800;
;;Ненецкий авт.округ;;;28,826.9400;
;;Нижегородская область;;;9,429.8500;
;;Новгородская область;;;11,338.2500;
;;Новосибирская область;;;11,024.7200;
;;Омская область;;;9,399.5800;
;;Оренбургская область;;;8,089.2300;
;;Орловская область;;;7,768.2400;
;;Пензенская область;;;8,480.5700;
;;Пермский край;;;8,179.3700;
;;Приволжский федеральный округ;;;8,606.6100;
;;Приморский край;;;10,017.6500;
;;Псковская область;;;9,343.2100;
;;Республика Адыгея;;;8,648.9800;
;;Республика Алтай;;;7,643.1500;
;;Республика Башкортостан;;;9,097.8100;
;;Республика Бурятия;;;10,818.9200;
;;Республика Дагестан;;;6,270.8100;
;;Республика Ингушетия;;;7,760.1400;
;;Республика Калмыкия;;;7,853.1300;
;;Республика Карелия;;;11,490.1400;
;;Республика Коми;;;13,469.9200;
;;Республика Марий Эл;;;8,316.3400;
;;Республика Мордовия;;;7,367.8600;
;;Республика Саха (Якутия);;;15,758.5900;
;;Республика Северная Осетия - Алания;;;7,568.8900;
;;Республика Татарстан;;;7,791.2500;
;;Республика Тыва;;;11,840.2600;
;;Республика Хакасия;;;8,729.8800;
;;Российская Федерация;;;11,251.9400;
;;Ростовская область;;;9,767.6300;
;;Рязанская область;;;6,061.3200;
;;Самарская область;;;10,280.9800;
;;Саратовская область;;;9,155.8800;
;;Сахалинская область;;;21,767.9900;
;;Свердловская область;;;11,069.6900;
;;Северо-Западный федеральный округ;;;12,907.7300;
;;Сибирский федеральный округ;;;10,355.7000;
;;Смоленская область;;;8,415.5800;
;;Ставропольский край;;;8,381.1500;
;;Тамбовская область;;;7,109.4700;
;;Тверская область;;;10,159.7600;
;;Томская область;;;10,425.4600;
;;Тульская область;;;9,183.9100;
;;Тюменская область;;;20,904.9300;
;;Тюменская область (частично);;;14,282.2300;
;;Удмуртская Республика;;;7,663.0500;
;;Ульяновская область;;;7,860.1000;
;;Уральский федеральный округ;;;12,881.8900;
;;Хабаровский край;;;13,457.2200;
;;Ханты-Мансийский автономный округ-Югра;;;22,170.4400;
;;Центральный федеральный округ;;;14,419.4200;
;;Челябинская область;;;8,336.4100;
;;Чеченская Республика;;;7,913.2600;
;;Чувашская Республика;;;7,803.6000;
;;Чукотский автономный округ;;;21,553.2100;
;;Южный федеральный округ (по 2009 год);;;8,630.9400;
;;Ямало-Ненецкий автономный округ;;;26,424.8700;
;;Ярославская область;;;9,439.1100;
;женщины;Алтайский край;;;7,912.7500;
;;Амурская область;;;12,629.6300;
;;Архангельская область;;;11,328.9900;
;;Астраханская область;;;9,187.0800;
;;Белгородская область;;;9,591.6800;
;;Брянская область;;;6,701.3200;
;;Владимирская область;;;9,664.2100;
;;Волгоградская область;;;9,313.3100;
;;Вологодская область;;;9,384.5700;
;;Воронежская область;;;8,869.8300;
;;г.Москва;;;33,288.8400;
;;г.Санкт-Петербург;;;14,917.9500;
;;Дальневосточный федеральный округ;;;14,143.4200;
;;Еврейская автономная область;;;10,396.1200;
;;Забайкальский край;;;10,378.3800;
;;Ивановская область;;;9,477.9300;
;;Иркутская область;;;10,577.3600;
;;Кабардино-Балкарская Республика;;;8,671.9400;
;;Калининградская область;;;10,636.1500;
;;Калужская область;;;10,429.2700;
;;Камчатский край;;;19,282.6000;
;;Карачаево-Черкесская Республика;;;7,443.4400;
;;Кемеровская область;;;11,510.7800;
;;Кировская область;;;8,905.2600;
;;Костромская область;;;8,484.8700;
;;Краснодарский край;;;9,093.3100;
;;Красноярский край;;;11,644.7000;
;;Курганская область;;;7,595.1600;
;;Курская область;;;7,109.4500;
;;Ленинградская область;;;13,038;
;;Липецкая область;;;8,711.9500;
;;Магаданская область;;;18,842.3900;
;;Московская область;;;16,411;
;;Мурманская область;;;15,786.2200;
;;Ненецкий авт.округ;;;29,888.4300;
;;Нижегородская область;;;9,602.8400;
;;Новгородская область;;;11,398.7000;
;;Новосибирская область;;;10,913.5300;
;;Омская область;;;9,281.4500;
;;Оренбургская область;;;7,865.9600;
;;Орловская область;;;7,810.2700;
;;Пензенская область;;;8,521.8900;
;;Пермский край;;;8,139.3900;
;;Приволжский федеральный округ;;;8,554.9600;
;;Приморский край;;;9,698.4000;
;;Псковская область;;;9,320.2800;
;;Республика Адыгея;;;8,673.8100;
;;Республика Алтай;;;7,821.9000;
;;Республика Башкортостан;;;8,947.1400;
;;Республика Бурятия;;;10,982.7500;
;;Республика Дагестан;;;6,130.3900;
;;Республика Ингушетия;;;7,627.0800;
;;Республика Калмыкия;;;8,001.3000;
;;Республика Карелия;;;11,952.7700;
;;Республика Коми;;;13,704.1800;
;;Республика Марий Эл;;;8,093.1700;
;;Республика Мордовия;;;7,331.6000;
;;Республика Саха (Якутия);;;15,883.1400;
;;Республика Северная Осетия - Алания;;;7,560.1400;
;;Республика Татарстан;;;7,833.0300;
;;Республика Тыва;;;12,787.6100;
;;Республика Хакасия;;;8,458.3600;
;;Российская Федерация;;;11,356.4300;
;;Ростовская область;;;9,533.4600;
;;Рязанская область;;;6,211.3300;
;;Самарская область;;;10,216.8300;
;;Саратовская область;;;9,064.4600;
;;Сахалинская область;;;21,780.6800;
;;Свердловская область;;;11,159.4300;
;;Северо-Западный федеральный округ;;;12,913.5600;
;;Сибирский федеральный округ;;;10,398.6100;
;;Смоленская область;;;8,424.7900;
;;Ставропольский край;;;8,352.4400;
;;Тамбовская область;;;7,169.5200;
;;Тверская область;;;9,780.4400;
;;Томская область;;;10,288.3500;
;;Тульская область;;;9,034.0900;
;;Тюменская область;;;20,813.9900;
;;Тюменская область (частично);;;14,035.0800;
;;Удмуртская Республика;;;7,578.8000;
;;Ульяновская область;;;7,882.9600;
;;Уральский федеральный округ;;;12,945.2400;
;;Хабаровский край;;;13,605.7500;
;;Ханты-Мансийский автономный округ-Югра;;;22,185.5000;
;;Центральный федеральный округ;;;14,716.6600;
;;Челябинская область;;;8,386.4300;
;;Чеченская Республика;;;7,853.1500;
;;Чувашская Республика;;;7,782.2700;
;;Чукотский автономный округ;;;21,911.0900;
;;Южный федеральный округ (по 2009 год);;;8,584.3200;
;;Ямало-Ненецкий автономный округ;;;25,951.4200;
;;Ярославская область;;;9,476.4000;
;мужчины;Алтайский край;;;7,761.5900;
;;Амурская область;;;11,157.5200;
;;Архангельская область;;;12,067.1300;
;;Астраханская область;;;9,407.2100;
;;Белгородская область;;;8,717.9600;
;;Брянская область;;;6,921.0300;
;;Владимирская область;;;8,632.8900;
;;Волгоградская область;;;9,601.1400;
;;Вологодская область;;;8,640.2500;
;;Воронежская область;;;11,193.7500;
;;г.Москва;;;33,588.4800;
;;г.Санкт-Петербург;;;15,806.9100;
;;Дальневосточный федеральный округ;;;15,110.4500;
;;Еврейская автономная область;;;9,858.2300;
;;Забайкальский край;;;8,760.1900;
;;Ивановская область;;;7,117.8200;
;;Иркутская область;;;11,600.0700;
;;Кабардино-Балкарская Республика;;;9,082.4000;
;;Калининградская область;;;13,450.8900;
;;Калужская область;;;18,896.6400;
;;Камчатский край;;;24,468.9300;
;;Карачаево-Черкесская Республика;;;7,993.6200;
;;Кемеровская область;;;11,071.8100;
;;Кировская область;;;9,814.1000;
;;Костромская область;;;7,868.7800;
;;Краснодарский край;;;9,933.4600;
;;Красноярский край;;;10,598.0400;
;;Курганская область;;;7,887.6000;
;;Курская область;;;6,205.0200;
;;Ленинградская область;;;12,101.4500;
;;Липецкая область;;;7,575.6000;
;;Магаданская область;;;18,443.7000;
;;Московская область;;;13,888.3900;
;;Мурманская область;;;15,309.5500;
;;Ненецкий авт.округ;;;24,780.4900;
;;Нижегородская область;;;8,667.1900;
;;Новгородская область;;;10,854.3700;
;;Новосибирская область;;;11,537.5300;
;;Омская область;;;9,729.7100;
;;Оренбургская область;;;8,822.4300;
;;Орловская область;;;7,547.4200;
;;Пензенская область;;;8,342.9000;
;;Пермский край;;;8,452.4200;
;;Приволжский федеральный округ;;;8,828.9800;
;;Приморский край;;;11,769.8000;
;;Псковская область;;;9,460.1000;
;;Республика Адыгея;;;8,536.6900;
;;Республика Алтай;;;7,086.2800;
;;Республика Башкортостан;;;9,647.6300;
;;Республика Бурятия;;;10,275.5400;
;;Республика Дагестан;;;6,540.1800;
;;Республика Ингушетия;;;8,186.5400;
;;Республика Калмыкия;;;7,285.9100;
;;Республика Карелия;;;7,837.8300;
;;Республика Коми;;;12,400.8400;
;;Республика Марий Эл;;;9,393.4700;
;;Республика Мордовия;;;7,471.2600;
;;Республика Саха (Якутия);;;15,299.9300;
;;Республика Северная Осетия - Алания;;;7,609.5800;
;;Республика Татарстан;;;7,589.1000;
;;Республика Тыва;;;9,265;
;;Республика Хакасия;;;9,882.4400;
;;Российская Федерация;;;10,766.8500;
;;Ростовская область;;;10,678.0500;
;;Рязанская область;;;5,405.6900;
;;Самарская область;;;10,532.7500;
;;Саратовская область;;;9,589.6700;
;;Сахалинская область;;;21,719.0900;
;;Свердловская область;;;10,474.5500;
;;Северо-Западный федеральный округ;;;12,871.1700;
;;Сибирский федеральный округ;;;10,175.8600;
;;Смоленская область;;;8,371.7900;
;;Ставропольский край;;;8,537.6200;
;;Тамбовская область;;;6,864.6700;
;;Тверская область;;;11,589.6900;
;;Томская область;;;10,916.2300;
;;Тульская область;;;9,735.6300;
;;Тюменская область;;;21,510.2500;
;;Тюменская область (частично);;;15,591.2400;
;;Удмуртская Республика;;;8,079.8000;
;;Ульяновская область;;;7,772.6600;
;;Уральский федеральный округ;;;12,490.7800;
;;Хабаровский край;;;12,494.5500;
;;Ханты-Мансийский автономный округ-Югра;;;22,055.2800;
;;Центральный федеральный округ;;;12,924;
;;Челябинская область;;;8,028.3700;
;;Чеченская Республика;;;8,089.2300;
;;Чувашская Республика;;;7,928.1200;
;;Чукотский автономный округ;;;20,117.6900;
;;Южный федеральный округ (по 2009 год);;;8,806.5400;
;;Ямало-Ненецкий автономный округ;;;29,643.9700;
;;Ярославская область;;;9,213.6600;
Дошкольное и начальное общее образование. Основное общее, среднее (полное) общее, начальное и среднее профессиональное образование.;Всего;Алтайский край;3,947;6,057;7,883;9,974.1100
;;Амурская область;5,589;8,761;12,408;15,238.6100
;;Архангельская область;5,584;9,204;11,412;15,150.9600
;;Архангельская область (без АО);;;;13,461.3900
;;Астраханская область;4,489;5,698;9,231;10,631.7100
;;Белгородская область;4,389;6,731;9,44;13,028.6700
;;Брянская область;3,206;5,945;6,745;9,229.6100
;;Владимирская область;4,343;5,881;9,486;11,844
;;Волгоградская область;4,099;6,216;9,351;11,477.4000
;;Вологодская область;5,126;8,089;9,296;11,887
;;Воронежская область;4,006;6,205;9,411;12,174.9600
;;г.Москва;10,557;20,479;33,325;35,960.0900
;;г.Санкт-Петербург;7,483;10,369;15,046;19,755.3800
;;Дальневосточный федеральный округ;7,005;10,63;14,312;18,799.6500
;;Еврейская автономная область;5,2;8,098;10,32;13,909.3600
;;Забайкальский край;8,441;8,961;10,076;12,431
;;Ивановская область;2,763;6,386;9,142;8,215.4000
;;Иркутская область;6,23;8,749;10,798;15,524.5900
;;Кабардино-Балкарская Республика;3,417;5,915;8,749;10,181.2700
;;Калининградская область;4,965;11,329;11,068;14,480.2600
;;Калужская область;4,459;6,448;12,402;13,056.9000
;;Камчатский край;10,508;14,079;20,522;29,726.2300
;;Карачаево-Черкесская Республика;3,891;5,365;7,571;8,455.3800
;;Кемеровская область;5,077;7,929;11,464;13,908.2200
;;Кировская область;3,579;5,488;9,076;9,930.1400
;;Костромская область;3,276;4,796;8,396;9,670.7500
;;Краснодарский край;4,233;5,597;9,262;10,407.6000
;;Красноярский край;6,573;9,647;11,482;14,575.0200
;;Курганская область;4,39;6,595;7,653;11,040.3500
;;Курская область;3,949;5,624;6,952;13,434.1800
;;Ленинградская область;5,739;9,26;12,892;14,780.8600
;;Липецкая область;4,414;6,39;8,451;11,963
;;Магаданская область;7,769;14,646;18,779;24,313.9000
;;Московская область;7,374;13,52;16,106;19,511.6500
;;Мурманская область;9,179;11,493;15,739;21,055.5800
;;Ненецкий авт.округ;13,182;17,145;28,827;36,920.9300
;;Нижегородская область;3,608;6,4;9,43;10,692.4900
;;Новгородская область;4,834;8,299;11,338;14,459.0200
;;Новосибирская область;4,458;7,362;11,025;14,314.4600
;;Омская область;4,371;6,545;9,4;14,119.3600
;;Оренбургская область;3,841;4,324;8,089;10,810.3500
;;Орловская область;2,893;6,258;7,768;11,175.4500
;;Пензенская область;3,758;5,831;8,481;10,594.7300
;;Пермский край;5,595;8,027;8,179;10,760.9000
;;Приволжский федеральный округ;3,978;6,189;8,607;11,124.5700
;;Приморский край;5,527;8,512;10,018;14,174.2300
;;Псковская область;3,879;6,509;9,343;12,409.5800
;;Республика Адыгея;3,425;5,52;8,649;11,144.2500
;;Республика Алтай;5,345;6,831;7,643;11,011.9400
;;Республика Башкортостан;4,245;7,018;9,098;12,299.0500
;;Республика Бурятия;5,231;8,696;10,819;15,008.5800
;;Республика Дагестан;2,764;3,893;6,271;8,119.0700
;;Республика Ингушетия;4,137;6,025;7,76;12,845.5500
;;Республика Калмыкия;3,387;5,209;7,853;9,957.8000
;;Республика Карелия;5,086;9,913;11,49;14,402.4500
;;Республика Коми;7,512;10,19;13,47;18,969.9100
;;Республика Марий Эл;3,532;5,493;8,316;10,235.4500
;;Республика Мордовия;2,855;4,874;7,368;8,817.1200
;;Республика Саха (Якутия);7,783;11,654;15,759;19,346.5800
;;Республика Северная Осетия - Алания;3,595;4,856;7,569;9,374.9400
;;Республика Татарстан;4,137;5,978;7,791;11,452.3800
;;Республика Тыва;6,671;8,118;11,84;13,677.0500
;;Республика Хакасия;5,246;7,585;8,73;12,050.5000
;;Российская Федерация;5,135;8,215;11,252;14,276.6300
;;Ростовская область;3,021;6,507;9,768;10,736.5700
;;Рязанская область;4,602;6,463;6,061;11,341.3900
;;Самарская область;4,748;6,757;10,281;12,601.5800
;;Саратовская область;2,973;5,562;9,156;10,775.2500
;;Сахалинская область;7,667;14,212;21,768;25,934.4500
;;Свердловская область;4,753;9,283;11,07;15,104.9900
;;Северо-Западный федеральный округ;6,406;9,691;12,908;16,612.5900
;;Северо-Кавказский федеральный округ;2,992;4,828;7,492;10,178.3800
;;Сибирский федеральный округ;5,424;7,961;10,356;13,621.5800
;;Смоленская область;4,12;5,75;8,416;8,516.4800
;;Ставропольский край;2,686;6,108;8,381;11,924.1500
;;Тамбовская область;3,362;5,239;7,109;9,958.0500
;;Тверская область;3,672;6,816;10,16;11,853.5800
;;Томская область;4,71;8,476;10,425;13,332.2800
;;Тульская область;4,277;5,918;9,184;11,439.4500
;;Тюменская область;9,102;15,047;20,905;30,492.5200
;;Тюменская область (без АО);;;;19,486.6600
;;Удмуртская Республика;3,701;5,979;7,663;10,742.6600
;;Ульяновская область;3,487;5,375;7,86;9,823.4500
;;Уральский федеральный округ;6,016;10,274;12,882;17,964.5100
;;Хабаровский край;7,312;9,46;13,457;19,123.1400
;;Ханты-Мансийский автономный округ-Югра;11,091;15,436;22,17;34,131.0400
;;Центральный федеральный округ;5,753;9,858;14,419;16,792.4700
;;Челябинская область;4,79;7,106;8,336;11,568.7500
;;Чеченская Республика;;;7,913;11,178.0400
;;Чувашская Республика;3,033;5,839;7,804;10,802.1600
;;Чукотский автономный округ;11,883;19,833;21,553;26,041.5500
;;Южный федеральный  округ (с 2010 года);;;;10,712.7600
;;Южный федеральный округ (по 2009 год);3,818;6,119;9,389;
;;Ямало-Ненецкий автономный округ;8,903;19,444;26,425;35,800.3000
;;Ярославская область;4,447;6,721;9,439;13,699.7800
;женщины;Алтайский край;3,984;6,094;7,913;10,177.8700
;;Амурская область;5,586;8,788;12,63;14,589.1800
;;Архангельская область;5,301;9,262;11,329;14,763.2100
;;Архангельская область (без АО);;;;13,059.5700
;;Астраханская область;4,477;5,377;9,187;10,687.8000
;;Белгородская область;4,365;6,768;9,592;13,174.9900
;;Брянская область;3,256;5,802;6,701;9,463.0600
;;Владимирская область;4,371;5,713;9,664;11,823.2900
;;Волгоградская область;3,91;6,201;9,313;11,319.5500
;;Вологодская область;5,101;8,171;9,385;11,899.7800
;;Воронежская область;3,665;5,967;8,87;11,981.7800
;;г.Москва;10,785;20,615;33,289;36,547.0800
;;г.Санкт-Петербург;7,613;10,364;14,918;19,913.1600
;;Дальневосточный федеральный округ;7,035;10,594;14,143;18,594.3400
;;Еврейская автономная область;5,289;8,255;10,396;14,238.3400
;;Забайкальский край;6,655;8,898;10,378;12,716.3300
;;Ивановская область;2,79;5,87;9,478;8,330.7200
;;Иркутская область;6,227;8,825;10,577;15,643.7900
;;Кабардино-Балкарская Республика;3,424;5,953;8,672;10,357.2900
;;Калининградская область;4,992;11,379;10,636;14,546.4400
;;Калужская область;4,489;6,382;10,429;11,957.4100
;;Камчатский край;10,586;13,096;19,283;27,919.5300
;;Карачаево-Черкесская Республика;3,904;5,455;7,443;8,540.9400
;;Кемеровская область;5,139;7,914;11,511;13,741.9800
;;Кировская область;3,549;5,68;8,905;10,026.9500
;;Костромская область;3,34;4,855;8,485;9,853.7600
;;Краснодарский край;4,2;5,415;9,093;10,404.4900
;;Красноярский край;6,571;9,75;11,645;14,659.9400
;;Курганская область;4,453;6,347;7,595;10,817.7900
;;Курская область;4,112;5,653;7,109;13,002.4800
;;Ленинградская область;5,829;9,389;13,038;14,794.4300
;;Липецкая область;4,588;6,555;8,712;12,350.8100
;;Магаданская область;7,936;14,07;18,842;22,946.3200
;;Московская область;7,382;13,563;16,411;19,596.5300
;;Мурманская область;9,104;11,585;15,786;21,254.9500
;;Ненецкий авт.округ;13,024;17,852;29,888;37,385.8400
;;Нижегородская область;3,616;6,445;9,603;10,746.3300
;;Новгородская область;4,722;8,193;11,399;14,566.8000
;;Новосибирская область;4,385;7,157;10,914;14,533.5700
;;Омская область;4,311;6,464;9,281;14,623.8700
;;Оренбургская область;3,664;4,426;7,866;10,814.6900
;;Орловская область;2,933;6,259;7,81;11,172
;;Пензенская область;3,753;5,92;8,522;10,786.4600
;;Пермский край;5,585;8,001;8,139;10,823.8200
;;Приволжский федеральный округ;3,928;6,169;8,555;11,100.4400
;;Приморский край;5,634;8,51;9,698;14,044.7400
;;Псковская область;3,902;6,582;9,32;12,230.4000
;;Республика Адыгея;3,532;5,494;8,674;11,095.9400
;;Республика Алтай;5,481;7,077;7,822;11,525.0400
;;Республика Башкортостан;4,144;6,712;8,947;12,112.6700
;;Республика Бурятия;5,381;8,655;10,983;14,848.1600
;;Республика Дагестан;2,63;3,84;6,13;7,934.1600
;;Республика Ингушетия;4,508;6,191;7,627;12,872.7000
;;Республика Калмыкия;3,436;5,184;8,001;10,285.4400
;;Республика Карелия;5,07;9,661;11,953;13,887.6000
;;Республика Коми;7,118;9,997;13,704;19,057.8400
;;Республика Марий Эл;3,402;5,549;8,093;10,223.8400
;;Республика Мордовия;2,879;4,804;7,332;8,887.3400
;;Республика Саха (Якутия);7,77;11,795;15,883;19,413.9100
;;Республика Северная Осетия - Алания;3,662;4,864;7,56;9,155.4700
;;Республика Татарстан;4,148;5,98;7,833;11,563.5100
;;Республика Тыва;7,03;8,93;12,788;14,654.0300
