Proffesion;Sex;Region;2005;2007;2009;2011
;;г.Санкт-Петербург;9,656;16,443;22,291;28,111.5000
;;Дальневосточный федеральный округ;9,181;13,875;18,69;23,526.9100
;;Еврейская автономная область;6,623;9,524;12,6;17,185.2200
;;Забайкальский край;7,644;10,509;13,824;18,245.5500
;;Ивановская область;4,106;6,799;9,929;11,498.2400
;;Иркутская область;7,67;11,368;14,766;19,334.7400
;;Кабардино-Балкарская Республика;3,479;6,111;8,668;10,101.5200
;;Калининградская область;6,361;11,529;13,419;18,132.8200
;;Калужская область;6,018;9,426;12,963;16,561.9000
;;Камчатский край;12,173;17,381;24,223;31,742.0200
;;Карачаево-Черкесская Республика;4,146;6,134;8,07;9,624.7300
;;Кемеровская область;6,58;9,796;12,741;15,798.2500
;;Кировская область;5,078;7,58;10,163;12,486.6000
;;Костромская область;4,496;6,807;10,258;11,981.0400
;;Краснодарский край;5,791;9,324;12,056;14,655.1300
;;Красноярский край;8,599;12,703;16,243;20,839.5800
;;Курганская область;4,909;7,337;9,191;12,765.9100
;;Курская область;4,8;7,305;9,491;13,186.3100
;;Ленинградская область;7,257;11,692;16,064;19,641.3900
;;Липецкая область;6,052;9,115;11,795;14,753.6600
;;Магаданская область;10,263;16,652;21,474;29,280.1800
;;Московская область;8,557;15,061;20,452;25,382.3100
;;Мурманская область;10,054;13,63;18,814;23,917.0800
;;Ненецкий авт.округ;17,305;21,615;34,276;40,279.0500
;;Нижегородская область;5,486;9,305;12,778;15,536.1400
;;Новгородская область;6,25;9,277;12,658;16,433.2000
;;Новосибирская область;6,415;10,592;15,407;18,875.6300
;;Омская область;5,857;8,922;11,489;15,127.7000
;;Оренбургская область;4,925;6,833;10,196;12,414.3800
;;Орловская область;4,305;7,437;9,537;12,306.1900
;;Пензенская область;4,226;7,281;10,329;12,866.2900
;;Пермский край;6,609;10,05;12,337;16,083.3500
;;Приволжский федеральный округ;5,505;8,649;11,243;14,402.5500
;;Приморский край;7,449;11,439;15,047;19,783.7500
;;Псковская область;4,906;7,686;10,784;13,372.7700
;;Республика Адыгея;4,24;6,425;9,583;11,966.5600
;;Республика Алтай;5,347;7,669;9,339;12,798.8800
;;Республика Башкортостан;6,138;9,605;11,687;15,233.4500
;;Республика Бурятия;6,499;9,521;13,015;17,226.2900
;;Республика Дагестан;2,9;4,454;7,164;8,840.4000
;;Республика Ингушетия;4,308;6,257;8,327;12,127.3200
;;Республика Калмыкия;4,09;5,667;8,016;10,511.1600
;;Республика Карелия;6,837;10,917;14,873;18,237.8400
;;Республика Коми;8,83;13,218;17,915;22,747.2600
;;Республика Марий Эл;4,303;7,013;9,111;11,493.0900
;;Республика Мордовия;4,143;6,624;9,133;11,752.5400
;;Республика Саха (Якутия);9,925;15,208;20,613;25,669.0700
;;Республика Северная Осетия - Алания;3,894;5,483;8,318;9,743.8000
;;Республика Татарстан;5,648;8,725;11,142;15,107.3300
;;Республика Тыва;6,59;8,575;12,517;15,315.5800
;;Республика Хакасия;6,234;9,512;12,408;14,578.2500
;;Российская Федерация;7,153;11,326;15,639;19,218.7100
;;Ростовская область;4,841;9,082;11,831;14,289.1600
;;Рязанская область;5,418;8,526;10,157;14,286.6900
;;Самарская область;6,492;9,95;12,316;16,034.9900
;;Саратовская область;4,569;7,618;10,691;13,435.4300
;;Сахалинская область;11,13;18,977;28,038;31,867.5300
;;Свердловская область;7,255;12,114;14,79;19,654.6800
;;Северо-Западный федеральный округ;8,179;13,137;17,879;22,500.8900
;;Северо-Кавказский федеральный округ;3,894;6,344;8,967;11,284.5200
;;Сибирский федеральный округ;6,837;10,356;13,646;17,365.6100
;;Смоленская область;5,374;7,766;10,934;12,412.8800
;;Ставропольский край;4,597;8,1;10,751;13,844.3600
;;Тамбовская область;4,262;6,726;8,924;11,804.8700
;;Тверская область;5,48;8,789;11,931;14,615.4900
;;Томская область;8,036;11,745;14,748;18,928.8700
;;Тульская область;5,219;8,127;11,347;14,408.3800
;;Тюменская область;14,309;20,414;26,195;33,555.1100
;;Тюменская область (без АО);;;;23,521.2400
;;Тюменская область (частично);;;17,892.9200;
;;Удмуртская Республика;5,289;8,334;10,455;13,196.7200
;;Ульяновская область;4,748;7,446;9,919;12,706.3900
;;Уральский федеральный округ;8,837;13,742;17,257;22,473.6600
;;Хабаровский край;9,585;13,497;17,567;22,737.1400
;;Ханты-Мансийский автономный округ-Югра;16,226;21,956;27,043;35,164.1800
;;Центральный федеральный округ;8,325;13,378;20,376;23,528.4300
;;Челябинская область;6,212;9,583;11,88;16,081.5300
;;Чеченская Республика;;;8,356;10,777.2000
;;Чувашская Республика;4,634;7,681;9,593;12,629.1200
;;Чукотский автономный округ;17,106;24,03;31,262;39,226.9500
;;Южный федеральный  округ (с 2010 года);;;;14,139.8100
;;Южный федеральный округ (по 2009 год);5,227;8,558;11,502;
;;Ямало-Ненецкий автономный округ;18,542;27;35,865;44,098.4600
;;Ярославская область;6,337;9,402;11,729;15,590.8900
;мужчины;Агинский  Бурятский автономный округ;;9,844;;
;;Алтайский край;6,568;9,945;14,248;17,383.3700
;;Амурская область;11,898;17,961;22,889;34,525.3500
;;Архангельская область;13,394;19,046;26,022;32,184.8500
;;Архангельская область (без АО);;;;29,999.0400
;;Астраханская область;10,131;14,196;19,953;24,167.7000
;;Белгородская область;10,18;14,628;17,607;23,427.0100
;;Брянская область;7,471;10,512;13,55;18,414.3600
;;Владимирская область;7,678;12,649;16,423;20,897.7200
;;Волгоградская область;8,451;13,257;16,58;20,828.3700
;;Вологодская область;12,579;17,779;22,162;29,920.1600
;;Воронежская область;8;12,033;16,769;21,472.7400
;;г.Москва;19,296;29,086;44,36;51,926.5700
;;г.Санкт-Петербург;14,466;24,118;32,222;40,082.0500
;;Дальневосточный федеральный округ;15,157;22,348;29,583;38,133.2600
;;Еврейская автономная область;11,605;15,189;21,424;31,845.6800
;;Забайкальский край;11,563;15,965;22,984;28,680.7100
;;Ивановская область;6,395;10,204;13,669;18,044.2300
;;Иркутская область;11,827;17,235;23,502;30,396.3100
;;Кабардино-Балкарская Республика;4,947;7,659;10,809;13,328.9900
;;Калининградская область;9,966;16,06;19,66;24,354.7900
